"Response","Term","Df","GVIF","GVIF_adj","Flag"
"biomass_kg_ha","Geomorphology",5,50.3355205456048,1.47974695998462,TRUE
"biomass_kg_ha","sedimnt",1,51.376889492009,7.1677673994075,TRUE
"biomass_kg_ha","nutrint",1,56.0453510086276,7.48634430203605,TRUE
"biomass_kg_ha","Location",4,42.6257603513775,1.59848666406146,TRUE
"abundance_ind_250m2","Geomorphology",5,50.3355205456048,1.47974695998462,TRUE
"abundance_ind_250m2","sedimnt",1,51.3768894920088,7.16776739940749,TRUE
"abundance_ind_250m2","nutrint",1,56.0453510086273,7.48634430203603,TRUE
"abundance_ind_250m2","Location",4,42.6257603513775,1.59848666406146,TRUE
"FRic","Geomorphology",5,50.3355205456048,1.47974695998462,TRUE
"FRic","sedimnt",1,51.3768894920089,7.1677673994075,TRUE
"FRic","nutrint",1,56.0453510086276,7.48634430203605,TRUE
"FRic","Location",4,42.6257603513775,1.59848666406146,TRUE
"FEve","Geomorphology",5,50.3355205456051,1.47974695998462,TRUE
"FEve","sedimnt",1,51.376889492009,7.1677673994075,TRUE
"FEve","nutrint",1,56.0453510086274,7.48634430203603,TRUE
"FEve","Location",4,42.6257603513776,1.59848666406146,TRUE
