"Term","Df","GVIF","GVIF_adj","Check"
"Geomorphology",5,13864.743883571,2.59532162335142,2.59532162335142
"nutrint",1,14.5939071849799,3.82019727042726,14.5939071849799
"DESIG",1,22.6014036946688,4.75409336200593,22.6014036946688
"NO_TK_AREA",1,11.4534731715057,3.38429803231124,11.4534731715057
"crypto5BRin",1,668.45242866565,25.8544469804645,668.45242866565
"transi15LR",1,15.5197580366667,3.93951241103093,15.5197580366667
"transi15BRout",1,631.619151659745,25.1320343716887,631.619151659745
"transi15BRbtw",1,150.280529168641,12.2588959196431,150.280529168641
"resid15LR",1,361.44250990331,19.011641431063,361.44250990331
"resid15BRIF",1,298.10367081307,17.265678985,298.10367081307
"resid15BRbtw",1,242.872874403947,15.5843791792919,242.872874403947
"pare15BRbtw",1,59.4191451469366,7.7083814868581,59.4191451469366
"sst_sd_6_year_mean",1,637.300944607786,25.2448201539996,637.300944607786
