"FRic","FEve","FDiv","FDis","RaoQ","Site","Dive_Site","Year_of_Adoption","Location","Permission","Facilitated.by","lat","lon","aca_geomorphology","slope_mean_2020_bio_oracle_3","terrain_ruggedness_index_2020_bio_oracle_3","topographic_position_index_2020_bio_oracle_3","DESIG","ADOPT_2024","NO_TAKE","NO_TK_AREA","STATUS_YR","Geomorphology","OBJECTI","grav_NC","pop_cnt","nm_prts","reef_vl","sedimnt","nutrint","cml_scr","tp_thrt","Region","is_bcu","grv_NC_","pp_cnt_","nm_prt_","rf_vl_r","sdmnt_r","ntrnt_r","score","scoreth","scorpfc","scoretr","scorecn","scorecy"
0.106336683947123,0.633369645023706,0.896316289816551,0.193962693079309,0.0416085390556096,"KAD_BIRD_1","Birdland","2005-2009","Kadavu","Ono","FLMMA/Kokomo",-18.84763115,178.5021932,"Back Reef Slope",1.3203984,99.25547,89.51445,"Locally Managed Marine Area","2005-2009","Part",19.22,"1985","Back Reef Slope",49542,0.571425896,0.535405524,0,0,0.599143004,0.545648849,0.375270546,"Sediments","Melanesia","non-refugia",1.160336377,293.8462265,0,0,4.663125992,0.000226514,-0.05091,-0.68252,0.13163,-0.09355,-0.01837,-0.11807
0.186822380086766,0.625644843382703,0.811343324024902,0.196921204192968,0.0484075756046023,"KAD_CAT_1","Catherine","2000-2004","Kadavu","Dravuni","FLMMA/Kokomo",-18.7013889,178.5322222,"Sheltered Reef Slope",1.8246502,256.33005,231.32104,"Locally Managed Marine Area","2000-2004","Part",19.22,"1985","Sheltered Reef Slope",49455,0.634133094,0.457011503,0,0,0.411780933,0.48458718,0.331252118,"Fishing","Melanesia","non-refugia",1.749591113,90.88370705,0,0,0.00050645,3.27e-06,-0.0587,-0.63161,0.13694,-0.06705,-0.38448,-0.11242
0.130186195944112,0.68195300276108,0.838232820899403,0.199561869693647,0.0451276834883136,"KAD_COW_","NukuvouCOW","2000-2004","Kadavu","Nukuvou","FLMMA/Matava",-19.01829737,178.4898473,NA,3.9523728,288.60309,155.06244,"Locally Managed Marine Area","2000-2004","Part",10.87,"2003","Back Reef Slope",49740,0.496694199,0.612993626,0,0.89839915,0.721292482,0.55745951,0.547806495,"Tourism","Melanesia","non-refugia",0.692938407,719.7486448,0,638,32.64180756,0.000358743,-0.06755,-0.5708,0.12037,-0.10968,-0.59643,-0.2335
0.193227269686522,0.640715400094681,0.935370180920923,0.149096830721155,0.0331784258369664,"KAD_FIGO","FijiGold","2000-2004","Kadavu","Dravuni","FLMMA/Kokomo",-18.7133333,178.5438889,"Outer Reef Flat",1.8246502,256.33005,231.32104,"Locally Managed Marine Area","2000-2004","Part",19.22,"1985","Sheltered Reef Slope",49455,0.634133094,0.457011503,0,0,0.411780933,0.48458718,0.331252118,"Fishing","Melanesia","non-refugia",1.749591113,90.88370705,0,0,0.00050645,3.27e-06,-0.0587,-0.63161,0.13694,-0.06705,-0.38448,-0.11242
0.115742194476601,0.627982320357903,0.830669486742747,0.105377482882367,0.0207151157605944,"KAD_LUPE","Lupes","2000-2004","Kadavu","Nukuvou","FLMMA/Matava",-19.02048259,178.4895541,NA,7.4294782,543.73291,157.43689,"Locally Managed Marine Area","2000-2004","Part",10.87,"2003","Back Reef Slope",49740,0.496694199,0.612993626,0,0.89839915,0.721292482,0.55745951,0.547806495,"Tourism","Melanesia","non-refugia",0.692938407,719.7486448,0,638,32.64180756,0.000358743,-0.06755,-0.5708,0.12037,-0.10968,-0.59643,-0.2335
0.079536874470725,0.609856123338339,0.84728264350681,0.170056290215391,0.0320634104799981,"KAD_MaiDive","Maidive","2005-2009","Kadavu","Ono","FLMMA/Kokomo",-18.9059233,178.52366,NA,1.8360801,136.29086,98.372093,"Locally Managed Marine Area","2005-2009","Part",19.22,"1985","Back Reef Slope",49638,0.535989212,0.587497253,0,0,0.716915551,0.575590072,0.402665348,"Sediments","Melanesia","non-refugia",0.919120934,542.0655398,0,0,30.78005219,0.000664594,-0.05061,-0.65222,0.12631,-0.11568,-0.01837,-0.1571
0.087976350441408,0.570195704024311,0.868159539107224,0.181381649600757,0.0361696175994215,"KAD_OnoBack","Narikoso","2005-2009","Kadavu","Ono","FLMMA/Kokomo",-18.9158333,178.5330556,"Back Reef Slope",1.8360801,136.29086,98.372093,"Locally Managed Marine Area","2005-2009","Part",19.22,"1985","Inner Reef Flat",49638,0.535989212,0.587497253,0,0,0.716915551,0.575590072,0.402665348,"Sediments","Melanesia","non-refugia",0.919120934,542.0655398,0,0,30.78005219,0.000664594,-0.05061,-0.65222,0.12631,-0.11568,-0.01837,-0.1571
0.152984260103105,0.649656527525405,0.832539003589947,0.212896804435054,0.0496404492105884,"KAD_ROB","RobertsReef","2000-2004","Kadavu","Nukuvou","FLMMA/Matava",-19.02253742,178.4892083,NA,7.4294782,543.73291,157.43689,"Locally Managed Marine Area","2000-2004","Part",10.87,"2003","Back Reef Slope",49740,0.496694199,0.612993626,0,0.89839915,0.721292482,0.55745951,0.547806495,"Tourism","Melanesia","non-refugia",0.692938407,719.7486448,0,638,32.64180756,0.000358743,-0.06755,-0.5708,0.12037,-0.10968,-0.59643,-0.2335
0.104295238735712,0.579443806525776,0.882070862914409,0.201403183865462,0.0446499845014252,"KAD_SO1","Soso1","2005-2009","Kadavu","Soso","FLMMA/Matava",-19.050175,178.2953433,"Outer Reef Flat",5.6637535,426.80042,103.3162,"Locally Managed Marine Area","2005-2009","Part",4.56,"2005","Inner Reef Flat",49807,0.446554663,0.571159059,0,0,0.731278505,0.546459566,0.382575299,"Sediments","Melanesia","non-refugia",0.511425537,450.3673286,0,0,36.69154358,0.000232939,-0.06438,-0.5281,0.11545,-0.13044,-0.54189,-0.27593
0.0601183214166301,0.642034943252183,0.948969655947302,0.11296131339641,0.0195218830741867,"KAD_SO2","Soso2","2005-2009","Kadavu","Soso","FLMMA/Matava",-19.05842,178.30866,"Inner Reef Flat",5.6637535,426.80042,103.3162,"Locally Managed Marine Area","2005-2009","Part",1.39,"2004","Inner Reef Flat",49808,0.457511566,0.607919994,0,0.759029966,0.715922466,0.522838244,0.510537039,"Tourism","Melanesia","non-refugia",0.546164877,684.8199158,0,34,30.43134689,7.06e-05,-0.03975,-0.53409,0.11601,-0.10105,0.15401,-0.27593
0.156722499747122,0.620595592273396,0.865899660329785,0.207957236572039,0.048193789052801,"KAD_VURRO","Vurro","2005-2009","Kadavu","Ono","FLMMA/Kokomo",-18.86538489,178.5245489,NA,1.0907691,88.83326,73.211754,"Locally Managed Marine Area","2005-2009","Part",19.22,"1985","Back Reef Slope",49587,0.551385065,0.592534252,0,0,0.69282404,0.574392423,0.401855963,"Sediments","Melanesia","non-refugia",1.01353283,573.2444122,0,0,22.55356407,0.000634106,-0.05104,-0.67409,0.12897,-0.11091,-0.01837,-0.12752
0.136715579409123,0.585125644689018,0.940807267610461,0.160359899829621,0.0321583946317927,"KUA_GOAT","KuataGoat","Non-adopter","Kuata","Namara","Barefoot Manta",-17.33537481,177.1509809,"Deep Lagoon",0.16416138,16.897337,-2.3884435,"qoliqoli","Non-Adopter","None",0,"","Deep Lagoon",47926,0.497143713,0.647062056,0,0.757802769,0.854733706,0.695336539,0.575346464,"Sediments","Melanesia","non-refugia",0.697049597,1005.858948,0,33,178.8015289,0.014073923,-0.01278,-0.3972,0.18457,-0.55469,0.47781,-0.1116
0.10542170996895,0.615123169876118,0.877785208095027,0.213685730893091,0.0490044035580794,"KUA_MPA","KuataMPA","Non-adopter","Kuata","Namara","Barefoot Manta",-17.36183827,177.1359799,"Terrestrial Reef Flat",0.22318776,21.863625,4.6390557,"qoliqoli","Non-Adopter","None",0,"None","Terrestrial Reef Flat",48009,0.50113315,0.64664078,0,0.856198256,0.723241871,0.667772189,0.565831041,"Tourism","Melanesia","non-refugia",0.719159072,1001.772951,0,253,33.34032822,0.007387417,-0.04951,-0.4121,0.1828,-0.49671,-0.54904,-0.10966
